Rank,Formula,A_site,B_site,Pred_Ehull_eV,Uncertainty,ToleranceFactor_t,OctahedralFactor_mu,InClassicStableZone,StabilityScore,Confidence
1,LaTiO3,La,Ti,0.0052828124999999,0.003016782080478,0.973373923229362,0.4321428571428571,1,0.5160298312815651,High
2,PrCoO3,Pr,Co,0.00569375,0.0022138414012751,0.9568808183220942,0.4357142857142857,1,0.5859452483012662,High
3,GdCoO3,Gd,Co,0.0158046874999999,0.003465448527405,0.9122029271724964,0.4357142857142857,1,0.6837225149055886,High
4,YbCoO3,Yb,Co,0.0174062499999999,0.0053103635409922,0.8858183457849387,0.4357142857142857,1,0.6819400570653943,Medium
5,DyCoO3,Dy,Co,0.0189312499999999,0.0040619566944392,0.9030562722914764,0.4357142857142857,1,0.688510581461386,High
6,ErFeO3,Er,Fe,0.0193281249999999,0.0099421073242484,0.8796477512658075,0.4607142857142857,1,0.7633264102181817,Medium
7,YCoO3,Y,Co,0.0254218749999999,0.0064137600796549,0.9002419169434703,0.4357142857142857,1,0.6888302029059462,Medium
8,SrNpO3,Sr,Np,0.0254812499999999,0.0107340015400828,0.8769359207728361,0.6357142857142858,1,0.9008784907572378,Low
9,LaAlO3,La,Al,0.032525,0.0051000765925621,1.0085864165761609,0.3821428571428572,0,0.2698249604980414,Medium
