element,n_test,r2_standard,r2_domain_adapt
Ac,71,0.39484596383936676,0.4469729586007043
Ag,71,0.8151923764307561,0.8120547877101271
Al,72,0.3538024871201435,0.42176147396164254
As,73,0.6610013297349404,0.6231282696402691
Au,73,0.8208496906688301,0.7374344260500807
B,73,-0.6083668876977983,-0.603562082639876
Ba,72,0.9593820057043608,0.9142404650800331
Be,73,0.4852151429311248,0.4774777109301853
Bi,72,0.776600731627356,0.7029676271793148
Ca,64,0.8425456614400777,0.6842688441705598
Cd,72,0.8762006448890889,0.8728023353795887
Ce,71,0.8873742403080191,0.9248860923703197
Cr,64,0.6757215199618132,0.6016228120307611
Cs,64,0.9192559388475549,0.896307388790981
Cu,72,0.8522717259773478,0.826515250929701
Dy,70,0.9405305643714978,0.9531000039253225
Er,71,0.8611698228675928,0.8806724670533624
Eu,73,0.7508464252534686,0.6856931199693332
Ga,72,0.7547831197188569,0.7060613320145462
Gd,71,0.9216065245387759,0.9381942442346126
Ge,69,0.454170311764027,0.5587262968780928
Hf,68,0.6967282904186429,0.675010153519798
Hg,73,0.791102279858352,0.8237989428056431
Ho,71,0.9281311675216412,0.9057289892157252
In,66,0.6110025502752114,0.5711650721417973
Ir,72,0.7416855000055733,0.742788460641272
K,73,0.9432141034900949,0.9646338905603652
La,67,0.9082976877331977,0.9280348959052167
Li,72,0.9001956262446288,0.8808380793387408
Lu,72,0.7793119326308676,0.8034863538351867
Mg,71,0.6547903408011936,0.7232828028600469
Mn,71,0.6964123553937221,0.6558335578936711
Mo,70,0.7807999295513703,0.8088346949240458
Na,73,0.9397930497466037,0.9515184669316784
Nb,68,0.7452808554513717,0.7633252167294363
Nd,71,0.8809663524429727,0.9002802188002524
Os,69,-1.0415329991327886,-0.863746275948212
Pa,52,0.3008603177996977,0.3905283313487773
Pb,62,0.566529605452603,0.6949097681399495
Pd,72,0.8394969546829459,0.7725115363691449
Pm,71,0.8140259332747193,0.8003637599371773
Pr,69,0.9481284028813123,0.9619528912781199
Pt,71,0.8487461213623633,0.8749758509814091
Rb,72,0.9618901246364417,0.9794526417788775
Re,70,0.6577782497975391,0.6196352994596115
Rh,71,0.8761079947684696,0.8831490652516354
Ru,69,0.896535476043865,0.8955247834274674
Sb,72,0.5554735334848283,0.6463232952663258
Sc,70,0.6280350947313422,0.6477492869992663
Si,73,0.6441499884086511,0.6636309940200646
Sm,70,0.8853348566721879,0.8784977368285282
Sn,70,0.6873867706026934,0.7564799906427193
Sr,71,0.927233327423282,0.9449619370560689
Ta,70,0.5099100431543766,0.6119930171955075
Tb,72,0.7505484900515585,0.7402942368303298
Tc,69,0.6992676839619663,0.6453955177476052
Te,73,0.3557776948622272,0.2552275092771511
Th,69,0.5909175723041512,0.6096871538556871
Ti,69,0.7644651931787244,0.7585368134627781
Tl,73,0.8805614098976094,0.8505693819104774
Tm,71,0.8880715982518333,0.8926203924482489
U,56,0.6556006278508197,0.6160611215149632
V,64,0.7551674598536563,0.7438395159529907
W,71,0.7169782088285204,0.5231384648000179
Y,68,0.8757985800891301,0.8963881936756525
Yb,71,0.7197819114173063,0.697514778776063
Zn,70,0.8089187120696456,0.7691582332953277
Zr,70,0.5741765474042015,0.6705331104517771
