RMSE,MAE,R2,method,target,physics_share
0.5296536404065516,0.4002406760987604,0.7111822917913633,pure_physics,formation_energy_per_atom,
0.2961207351117347,0.19497402511921344,0.9097229140735881,pure_ml,formation_energy_per_atom,
0.3012635345490715,0.20003626287554926,0.9065599572427102,standard_pgml,formation_energy_per_atom,
0.30976956941846057,0.20815147988597923,0.9012089961565566,PCRL (penalty=0.5),formation_energy_per_atom,
0.30976956941846057,0.20815147988597923,0.9012089961565566,PCRL+adaptive,formation_energy_per_atom,0.7891424684222946
0.4339083941465933,0.3289584968797536,0.4976904161851141,pure_physics,energy_above_hull,
0.27520164528550073,0.1773546429903185,0.7979413659849377,pure_ml,energy_above_hull,
0.28097699998502523,0.18349648450113354,0.7893716124339094,standard_pgml,energy_above_hull,
0.2876397344994028,0.1909011766246931,0.7792640250148284,PCRL (penalty=0.5),energy_above_hull,
0.2876397344994028,0.1909011766246931,0.7792640250148284,PCRL+adaptive,energy_above_hull,0.6386672555243952
