target,feature,appearances_in_top40
formation_energy_per_atom,magpie_Z_max,5
formation_energy_per_atom,magpie_X_wmean,5
formation_energy_per_atom,magpie_X_std,5
formation_energy_per_atom,magpie_atomic_radius_max,5
formation_energy_per_atom,magpie_atomic_radius_std,5
formation_energy_per_atom,magpie_group_mean,5
formation_energy_per_atom,magpie_group_wmean,5
formation_energy_per_atom,magpie_group_min,5
formation_energy_per_atom,magpie_mendeleev_no_mean,5
formation_energy_per_atom,magpie_mendeleev_no_wmean,5
formation_energy_per_atom,magpie_mendeleev_no_min,5
formation_energy_per_atom,magpie_mendeleev_no_range,5
formation_energy_per_atom,magpie_mendeleev_no_std,5
formation_energy_per_atom,magpie_thermal_conductivity_max,5
formation_energy_per_atom,magpie_thermal_conductivity_std,5
formation_energy_per_atom,magpie_melting_point_mean,5
formation_energy_per_atom,magpie_melting_point_wmean,5
formation_energy_per_atom,magpie_bulk_modulus_max,5
formation_energy_per_atom,magpie_brinell_hardness_min,5
formation_energy_per_atom,magpie_rigidity_modulus_min,5
energy_above_hull,magpie_X_mean,5
energy_above_hull,magpie_X_std,5
energy_above_hull,magpie_atomic_radius_std,5
energy_above_hull,magpie_group_std,5
energy_above_hull,magpie_mendeleev_no_mean,5
energy_above_hull,magpie_mendeleev_no_wmean,5
energy_above_hull,magpie_mendeleev_no_min,5
energy_above_hull,magpie_mendeleev_no_range,5
energy_above_hull,magpie_mendeleev_no_std,5
energy_above_hull,magpie_velocity_of_sound_wmean,5
energy_above_hull,magpie_velocity_of_sound_std,5
energy_above_hull,magpie_thermal_conductivity_std,5
energy_above_hull,magpie_melting_point_mean,5
energy_above_hull,magpie_melting_point_wmean,5
energy_above_hull,magpie_melting_point_std,5
energy_above_hull,magpie_bulk_modulus_range,5
energy_above_hull,magpie_brinell_hardness_min,5
energy_above_hull,magpie_brinell_hardness_range,5
energy_above_hull,magpie_rigidity_modulus_min,5
energy_above_hull,magpie_density_mean,5
