seed,model,R2,MAE,target
42,LightGBM,0.801770284129469,0.17336175837614506,energy_above_hull
42,RF,0.7685661572766492,0.18993356434962066,energy_above_hull
42,XGBoost,0.7963757462908413,0.17473061187131797,energy_above_hull
123,LightGBM,0.7895121482203199,0.17638755033297504,energy_above_hull
123,RF,0.7618705498349362,0.19058062865874006,energy_above_hull
123,XGBoost,0.7817978319067223,0.17800311596670626,energy_above_hull
456,LightGBM,0.7948099467136568,0.17578135003158396,energy_above_hull
456,RF,0.7710137976183317,0.18916724568456575,energy_above_hull
456,XGBoost,0.7963006282404359,0.17215961016369813,energy_above_hull
789,LightGBM,0.7965431692358069,0.17515115226901898,energy_above_hull
789,RF,0.7724430993989808,0.1885345809360562,energy_above_hull
789,XGBoost,0.7891070890031977,0.17596404619715061,energy_above_hull
2024,LightGBM,0.8022185057568143,0.17244295099441334,energy_above_hull
2024,RF,0.7783636259066635,0.1875757230972686,energy_above_hull
2024,XGBoost,0.7981990016912024,0.17300330993062193,energy_above_hull
