target,method,R2,MAE,RMSE
formation_energy_per_atom,SR_physics_only,0.4697957636256884,0.5466693514621263,0.7176317578488101
formation_energy_per_atom,SR_physics_plus_ML,0.9108141909715426,0.19399079849815007,0.2943255274661699
formation_energy_per_atom,KRR_physics_only,0.7892027243580272,0.33254820714009287,0.4524937132919856
formation_energy_per_atom,KRR_physics_plus_ML,0.910274364296795,0.19299220702507378,0.2952149350508184
formation_energy_per_atom,pure_ML,0.9142338488187254,0.18649389478499004,0.2886277032422254
energy_above_hull,SR_physics_only,0.18589422904603126,0.42867091388281325,0.5523988125219118
energy_above_hull,SR_physics_plus_ML,0.8011637737003565,0.1741195657076747,0.27299838364211093
energy_above_hull,KRR_physics_only,0.583593995166428,0.2936558557256585,0.39506705182138163
energy_above_hull,KRR_physics_plus_ML,0.7928461871659648,0.17861087602080036,0.27864983181938247
energy_above_hull,pure_ML,0.8074539131397234,0.16984804661688838,0.26864556051498434
